rank	text	glyph	tier	cl100k	o200k	saved	freq_per_M	value	cum_value_pct	domain
99	how do i	س	A	3	3	2	2600.0	5200.0	21.72	prompt-instructions
100	package.json	ش	A	2	2	1	5200.0	5200.0	21.87	shell-cli-git
101	package-lock.json	ص	A	3	3	2	2600.0	5200.0	22.01	shell-cli-git
102	python -m venv	ض	A	5	5	4	1300.0	5200.0	22.16	shell-cli-git
103	git push -u origin	ط	A	5	5	4	1300.0	5200.0	22.31	shell-cli-git
104	PRIMARY KEY	ظ	A	2	2	1	5200.0	5200.0	22.45	sql-data
105	CREATE OR REPLACE FUNCTION	ع	A	4	5	4	1300.0	5200.0	22.6	sql-data
106	CASE WHEN	غ	A	2	2	1	5200.0	5200.0	22.74	sql-data
107	COMMIT;	ف	A	3	3	2	2600.0	5200.0	22.89	sql-data
108	500 Internal Server Error	ق	A	4	4	3	1700.0	5100.0	23.03	web-http-api
109	SERIAL PRIMARY KEY	ك	A	4	4	3	1700.0	5100.0	23.18	sql-data
110	i want you	ل	A	3	3	2	2500.0	5000.0	23.32	prompt-instructions
111	you to	م	A	2	2	1	5000.0	5000.0	23.46	prompt-instructions
112	to the	ن	A	2	2	1	5000.0	5000.0	23.6	prompt-instructions
113	TIMESTAMP WITH TIME ZONE	ه	A	6	6	5	1000.0	5000.0	23.74	sql-data
114	@router.post(	و	A	4	4	3	1600.0	4800.0	23.87	python
115	@router.get(	ى	A	4	4	3	1600.0	4800.0	24.01	python
116	Optional[Dict[str, Any]]	ي	A	7	7	6	800.0	4800.0	24.14	python
117	ON CONFLICT	پ	A	3	3	2	2400.0	4800.0	24.28	sql-data
118	return null;	ک	A	3	3	2	2400.0	4800.0	24.41	code-general
119	fmt.Println(	گ	A	3	3	2	2400.0	4800.0	24.55	code-general
120	std::string	ی	A	3	3	2	2400.0	4800.0	24.68	code-general
121	std::cout <<	क	A	4	4	3	1600.0	4800.0	24.82	code-general
122	give me a list of	त	A	5	5	4	1200.0	4800.0	24.95	prompt-instructions
123	i would like you to	न	A	5	5	4	1200.0	4800.0	25.09	prompt-instructions
124	what are the	प	A	3	3	2	2400.0	4800.0	25.22	prompt-instructions
125	--version	म	A	2	2	1	4800.0	4800.0	25.36	shell-cli-git
126	git commit -am	र	A	4	4	3	1600.0	4800.0	25.49	shell-cli-git
127	python3 -m	ल	A	4	4	3	1600.0	4800.0	25.63	shell-cli-git
128	ls -la	स	A	3	3	2	2400.0	4800.0	25.76	shell-cli-git
129	2>&1	ह	A	3	3	2	2400.0	4800.0	25.9	shell-cli-git
130	find . -type f	ন	A	5	5	4	1200.0	4800.0	26.03	shell-cli-git
131	localhost:3000	র	A	4	4	3	1600.0	4800.0	26.17	shell-cli-git
132	**Note:**	ก	A	3	3	2	2400.0	4800.0	26.3	markdown-docs
133	can be used to	ข	A	4	4	3	1600.0	4800.0	26.44	markdown-docs
134	you need to	ค	A	3	3	2	2400.0	4800.0	26.57	markdown-docs
135	thank you for	ง	A	3	3	2	2400.0	4800.0	26.71	business-email
136	ON CONFLICT DO UPDATE	จ	A	5	5	4	1200.0	4800.0	26.84	sql-data
137	GROUP BY ... HAVING	ช	A	5	5	4	1200.0	4800.0	26.98	sql-data
138	NOT IN (	ณ	A	3	3	2	2400.0	4800.0	27.11	sql-data
139	IN (	ด	A	2	2	1	4800.0	4800.0	27.25	sql-data
140	FOREIGN KEY (... REFERENCES	ต	A	5	5	4	1200.0	4800.0	27.38	sql-data
141	payload.get(	ถ	A	3	3	2	2300.0	4600.0	27.51	python
142	() => {	ท	A	3	3	2	2300.0	4600.0	27.64	js-ts
143	explain the	น	A	2	3	2	2300.0	4600.0	27.77	prompt-instructions
144	a list of	บ	A	3	3	2	2300.0	4600.0	27.9	prompt-instructions
145	git status	ป	A	2	2	1	4600.0	4600.0	28.03	shell-cli-git
146	git rebase	ผ	A	3	3	2	2300.0	4600.0	28.16	shell-cli-git
147	mkdir -p	พ	A	3	3	2	2300.0	4600.0	28.28	shell-cli-git
148	one of the	ม	A	3	3	2	2300.0	4600.0	28.41	markdown-docs
149	INNER JOIN	ย	A	2	2	1	4600.0	4600.0	28.54	sql-data
150	user_id	ร	A	2	2	1	4600.0	4600.0	28.67	sql-data
151	raise HTTPException(	ล	A	4	4	3	1500.0	4500.0	28.8	python
152	from typing import Any, Dict, List, Optional	ว	A	10	10	9	500.0	4500.0	28.92	python
153	catch (Exception e) {	ส	A	6	6	5	900.0	4500.0	29.05	code-general
154	i'm trying to	ห	A	4	4	3	1500.0	4500.0	29.18	prompt-instructions
155	for the	อ	A	2	2	1	4500.0	4500.0	29.3	prompt-instructions
156	npm install	ะ	A	2	2	1	4500.0	4500.0	29.43	shell-cli-git
157	sudo apt-get update	า	A	4	4	3	1500.0	4500.0	29.56	shell-cli-git
158	python3 -m pip install	ำ	A	6	6	5	900.0	4500.0	29.68	shell-cli-git
159	if you want to	เ	A	4	4	3	1500.0	4500.0	29.81	markdown-docs
160	thank you for your	แ	A	4	4	3	1500.0	4500.0	29.94	business-email
161	ROW_NUMBER() OVER	ใ	A	4	4	3	1500.0	4500.0	30.06	sql-data
162	ORDER BY ... ASC	ไ	A	4	4	3	1500.0	4500.0	30.19	sql-data
163	summarize the following	あ	A	5	5	4	1100.0	4400.0	30.31	prompt-instructions
164	you are a	い	A	3	3	2	2200.0	4400.0	30.44	prompt-instructions
165	i want to	う	A	3	3	2	2200.0	4400.0	30.56	prompt-instructions
166	--help	え	A	2	2	1	4400.0	4400.0	30.68	shell-cli-git
167	python -m	お	A	3	3	2	2200.0	4400.0	30.81	shell-cli-git
168	venv/bin/activate	か	A	5	5	4	1100.0	4400.0	30.93	shell-cli-git
169	if (!response.ok)	が	A	5	5	4	1100.0	4400.0	31.05	web-http-api
170	CREATE OR REPLACE VIEW	き	A	4	5	4	1100.0	4400.0	31.18	sql-data
171	PARTITION BY	く	A	3	3	2	2200.0	4400.0	31.3	sql-data
172	LIMIT 10	け	A	3	3	2	2200.0	4400.0	31.42	sql-data
173	TIMESTAMPTZ	こ	A	5	5	4	1100.0	4400.0	31.55	sql-data
174	CONSTRAINT ... FOREIGN KEY	ご	A	5	5	4	1100.0	4400.0	31.67	sql-data
175	WHERE 1=1	さ	A	5	5	4	1100.0	4400.0	31.8	sql-data
176	DELETE FROM	ざ	A	2	2	1	4300.0	4300.0	31.92	sql-data
177	the number of	し	A	3	3	2	2100.0	4200.0	32.03	math-logic
178	created_at	じ	A	2	2	1	4200.0	4200.0	32.15	sql-data
179	can you	す	A	2	2	1	4200.0	4200.0	32.27	prompt-instructions
180	on the	せ	A	2	2	1	4200.0	4200.0	32.39	prompt-instructions
181	tsconfig.json	そ	A	3	3	2	2100.0	4200.0	32.51	shell-cli-git
182	~/.bashrc	た	A	4	4	3	1400.0	4200.0	32.62	shell-cli-git
183	git push --set-upstream origin	だ	A	7	7	6	700.0	4200.0	32.74	shell-cli-git
184	```python	ち	A	2	2	1	4200.0	4200.0	32.86	markdown-docs
185	i hope this email finds you well	っ	A	7	7	6	700.0	4200.0	32.98	business-email
186	application/json	つ	A	2	2	1	4200.0	4200.0	33.1	web-http-api
187	404 Not Found	て	A	3	3	2	2100.0	4200.0	33.21	web-http-api
188	IS NULL	で	A	2	2	1	4200.0	4200.0	33.33	sql-data
189	ELSE NULL END	と	A	3	4	3	1400.0	4200.0	33.45	sql-data
190	VARCHAR(	ど	A	2	2	1	4200.0	4200.0	33.57	sql-data
191	AS (SELECT	な	A	3	3	2	2100.0	4200.0	33.69	sql-data
192	CHARACTER SET utf8mb4	に	A	7	7	6	700.0	4200.0	33.8	sql-data
193	please let me know if you have any questions	の	A	9	9	8	520.0	4160.0	33.92	business-email
194	ALTER TABLE	は	A	2	2	1	4100.0	4100.0	34.04	sql-data
195	, error)	ば	A	3	3	2	2000.0	4000.0	34.15	code-general
196	<< std::endl;	ま	A	5	5	4	1000.0	4000.0	34.26	code-general
197	i have a	み	A	3	3	2	2000.0	4000.0	34.37	prompt-instructions
198	chmod +x	め	A	3	3	2	2000.0	4000.0	34.49	shell-cli-git
199	~/.zshrc	も	A	5	5	4	1000.0	4000.0	34.6	shell-cli-git
200	grep -r	や	A	3	3	2	2000.0	4000.0	34.71	shell-cli-git
201	const response = await fetch	よ	A	5	5	4	1000.0	4000.0	34.82	web-http-api
202	DEFAULT CURRENT_TIMESTAMP	ら	A	3	3	2	2000.0	4000.0	34.94	sql-data
203	TIMESTAMP	り	A	2	2	1	4000.0	4000.0	35.05	sql-data
204	write a function that	る	A	4	4	3	1300.0	3900.0	35.16	prompt-instructions
205	give me a list	れ	A	4	4	3	1300.0	3900.0	35.27	prompt-instructions
206	git checkout	ろ	A	2	2	1	3900.0	3900.0	35.38	shell-cli-git
207	docker exec -it	わ	A	4	4	3	1300.0	3900.0	35.49	shell-cli-git
208	tar -xzf	を	A	4	4	3	1300.0	3900.0	35.6	shell-cli-git
209	onClick={	ん	A	2	3	2	1900.0	3800.0	35.7	js-ts
210	!= null	ア	A	2	2	1	3800.0	3800.0	35.81	code-general
211	git push	ィ	A	2	2	1	3800.0	3800.0	35.92	shell-cli-git
212	apt-get install	イ	A	3	3	2	1900.0	3800.0	36.02	shell-cli-git
213	yarn add	ウ	A	3	3	2	1900.0	3800.0	36.13	shell-cli-git
214	pip install	ェ	A	2	2	1	3800.0	3800.0	36.24	shell-cli-git
215	/usr/local/bin	エ	A	3	3	2	1900.0	3800.0	36.34	shell-cli-git
216	```bash	オ	A	2	2	1	3800.0	3800.0	36.45	markdown-docs
217	For more information	カ	A	3	3	2	1900.0	3800.0	36.56	markdown-docs
218	you can also	キ	A	3	3	2	1900.0	3800.0	36.66	markdown-docs
219	Content-Type	ク	A	2	2	1	3800.0	3800.0	36.77	web-http-api
220	VALUES (	グ	A	2	2	1	3800.0	3800.0	36.88	sql-data
221	LIMIT ... OFFSET	コ	A	3	3	2	1900.0	3800.0	36.98	sql-data
222	INT NOT NULL	サ	A	3	3	2	1900.0	3800.0	37.09	sql-data
223	} from	シ	A	2	2	1	3700.0	3700.0	37.19	js-ts
224	neural network	ジ	A	3	3	2	1850.0	3700.0	37.3	ml-ai-jargon
225	git pull	ス	A	2	2	1	3700.0	3700.0	37.4	shell-cli-git
226	is not None	ズ	A	3	3	2	1800.0	3600.0	37.5	python
227	CREATE INDEX IF NOT EXISTS	セ	A	5	5	4	900.0	3600.0	37.6	sql-data
228	public static void	タ	A	3	3	2	1800.0	3600.0	37.7	code-general
229	fmt.Printf(	ダ	A	3	3	2	1800.0	3600.0	37.81	code-general
230	} catch (	チ	A	3	3	2	1800.0	3600.0	37.91	code-general
231	npm run	ッ	A	2	2	1	3600.0	3600.0	38.01	shell-cli-git
232	npx create-react-app	テ	A	5	5	4	900.0	3600.0	38.11	shell-cli-git
233	ls -l	デ	A	3	3	2	1800.0	3600.0	38.21	shell-cli-git
234	docker-compose up	ト	A	3	3	2	1800.0	3600.0	38.31	shell-cli-git
235	kubectl get pods	ド	A	3	4	3	1200.0	3600.0	38.41	shell-cli-git
236	kubectl apply -f	ナ	A	4	5	4	900.0	3600.0	38.51	shell-cli-git
237	git reset --hard	ニ	A	4	4	3	1200.0	3600.0	38.61	shell-cli-git
238	tsc --noEmit	バ	A	6	5	4	900.0	3600.0	38.72	shell-cli-git
239	git commit --amend	パ	A	5	5	4	900.0	3600.0	38.82	shell-cli-git
240	#!/usr/bin/env python	ビ	A	5	5	4	900.0	3600.0	38.92	shell-cli-git
241	is used to	ピ	A	3	3	2	1800.0	3600.0	39.02	markdown-docs
242	i look forward to hearing from you	フ	A	7	7	6	600.0	3600.0	39.12	business-email
243	status: 200	ブ	A	4	4	3	1200.0	3600.0	39.22	web-http-api
244	LEFT OUTER JOIN	プ	A	3	4	3	1200.0	3600.0	39.32	sql-data
245	ADD CONSTRAINT	ペ	A	2	3	2	1800.0	3600.0	39.42	sql-data
246	ROW_NUMBER()	ポ	A	3	3	2	1800.0	3600.0	39.53	sql-data
247	ROLLBACK;	マ	A	3	3	2	1800.0	3600.0	39.63	sql-data
248	FROM (SELECT	ム	A	3	3	2	1800.0	3600.0	39.73	sql-data
249	self.	メ	A	2	2	1	3500.0	3500.0	39.83	python
250	from the	ャ	A	2	2	1	3500.0	3500.0	39.92	prompt-instructions
251	with the	ュ	A	2	2	1	3500.0	3500.0	40.02	prompt-instructions
252	cd ..	ョ	A	2	2	1	3500.0	3500.0	40.12	shell-cli-git
253	Co-Authored-By	ラ	A	6	6	5	700.0	3500.0	40.22	shell-cli-git
254	fatal: not a git repository	リ	A	6	6	5	700.0	3500.0	40.32	shell-cli-git
255	status code	ル	A	2	2	1	3500.0	3500.0	40.42	web-http-api
256	GENERATED ALWAYS AS IDENTITY	レ	A	6	6	5	700.0	3500.0	40.51	sql-data
257	in the following	ロ	A	3	3	2	1700.0	3400.0	40.61	prompt-instructions
258	updated_at	ン	A	2	2	1	3400.0	3400.0	40.7	sql-data
259	import {	一	A	2	2	1	3400.0	3400.0	40.8	js-ts
260	== null	万	A	2	2	1	3400.0	3400.0	40.9	code-general
261	how can i	三	A	3	3	2	1700.0	3400.0	40.99	prompt-instructions
262	give me	上	A	2	2	1	3400.0	3400.0	41.09	prompt-instructions
263	i need to	不	A	3	3	2	1700.0	3400.0	41.18	prompt-instructions
264	large language model	与	A	3	3	2	1700.0	3400.0	41.28	ml-ai-jargon
265	git clone	专	A	2	2	1	3400.0	3400.0	41.37	shell-cli-git
266	.venv	业	A	3	3	2	1700.0	3400.0	41.47	shell-cli-git
267	you want to	东	A	3	3	2	1700.0	3400.0	41.56	markdown-docs
268	throw new Error	两	A	3	3	2	1700.0	3400.0	41.66	web-http-api
269	SUM(	个	A	2	2	1	3400.0	3400.0	41.76	sql-data
270	BEGIN TRANSACTION	中	A	2	3	2	1700.0	3400.0	41.85	sql-data
271	it is important to note that	串	A	6	6	5	680.0	3400.0	41.95	logic-reasoning
272	return fmt.Errorf(	主	A	4	4	3	1100.0	3300.0	42.04	code-general
273	git log	么	A	2	2	1	3300.0	3300.0	42.13	shell-cli-git
274	git diff	义	A	2	2	1	3300.0	3300.0	42.22	shell-cli-git
275	docker run -it	之	A	4	4	3	1100.0	3300.0	42.32	shell-cli-git
276	git remote add origin	也	A	4	4	3	1100.0	3300.0	42.41	shell-cli-git
277	tar -czf	书	A	4	4	3	1100.0	3300.0	42.5	shell-cli-git
278	ps aux | grep	了	A	4	4	3	1100.0	3300.0	42.6	shell-cli-git
279	if [ -f	事	A	4	4	3	1100.0	3300.0	42.69	shell-cli-git
280	ON UPDATE CASCADE	二	A	3	4	3	1100.0	3300.0	42.78	sql-data
281	greater than or equal to	于	A	5	5	4	820.0	3280.0	42.87	math-logic
282	-> List[Dict[str, Any]]:	五	A	9	9	8	400.0	3200.0	42.96	python
283	fmt.Errorf(	些	A	3	3	2	1600.0	3200.0	43.05	code-general
284	to_string()	交	A	3	3	2	1600.0	3200.0	43.14	code-general
285	const std::string&	产	A	5	5	4	800.0	3200.0	43.23	code-general
286	%w", err)	享	A	5	5	4	800.0	3200.0	43.32	code-general
287	write a function	京	A	3	3	2	1600.0	3200.0	43.41	prompt-instructions
288	i would like	人	A	3	3	2	1600.0	3200.0	43.5	prompt-instructions
289	is there a	亿	A	3	3	2	1600.0	3200.0	43.59	prompt-instructions
290	is there a way to	今	A	5	5	4	800.0	3200.0	43.68	prompt-instructions
291	based on the	介	A	3	3	2	1600.0	3200.0	43.77	prompt-instructions
292	cp -r	从	A	3	3	2	1600.0	3200.0	43.86	shell-cli-git
293	#!/bin/bash	他	A	3	3	2	1600.0	3200.0	43.95	shell-cli-git
294	Already up to date.	付	A	5	5	4	800.0	3200.0	44.04	shell-cli-git
295	looking forward to	代	A	3	3	2	1600.0	3200.0	44.13	business-email
296	https://	以	A	2	2	1	3200.0	3200.0	44.22	web-http-api
297	status_code == 200	们	A	5	5	4	800.0	3200.0	44.31	web-http-api
298	DROP TABLE	件	A	2	2	1	3200.0	3200.0	44.4	sql-data
299	SELECT DISTINCT	价	A	2	2	1	3200.0	3200.0	44.49	sql-data
300	CAST(... AS	任	A	3	3	2	1600.0	3200.0	44.58	sql-data
301	WITH RECURSIVE	份	A	5	5	4	800.0	3200.0	44.67	sql-data
302	DECIMAL(	企	A	3	3	2	1600.0	3200.0	44.76	sql-data
303	ENGINE=InnoDB	优	A	4	5	4	800.0	3200.0	44.85	sql-data
304	less than or equal to	会	A	5	5	4	780.0	3120.0	44.94	math-logic
305	/dev/null	传	A	2	2	1	3100.0	3100.0	45.03	shell-cli-git
306	if __name__ == "__main__":	但	A	9	9	8	380.0	3040.0	45.11	python
307	from typing import	位	A	3	3	2	1500.0	3000.0	45.19	python
308	conn.execute(	体	A	3	3	2	1500.0	3000.0	45.28	python
309	with _connect() as conn:	何	A	7	7	6	500.0	3000.0	45.36	python
310	i++) {	余	A	3	3	2	1500.0	3000.0	45.45	code-general
311	-> Result<	作	A	3	3	2	1500.0	3000.0	45.53	code-general
312	in the style of	你	A	4	4	3	1000.0	3000.0	45.62	prompt-instructions
313	can you please	供	A	3	3	2	1500.0	3000.0	45.7	prompt-instructions
314	as a	価	A	2	2	1	3000.0	3000.0	45.78	prompt-instructions
315	act as a	保	A	3	3	2	1500.0	3000.0	45.87	prompt-instructions
316	what is a	信	A	3	3	2	1500.0	3000.0	45.95	prompt-instructions
317	do not	修	A	2	2	1	3000.0	3000.0	46.04	prompt-instructions
318	yarn install	倍	A	3	3	2	1500.0	3000.0	46.12	shell-cli-git
319	.gitignore	值	A	2	2	1	3000.0	3000.0	46.21	shell-cli-git
320	chown -R	停	A	4	4	3	1000.0	3000.0	46.29	shell-cli-git
321	rm -r	像	A	3	3	2	1500.0	3000.0	46.37	shell-cli-git
322	docker compose up	元	A	3	3	2	1500.0	3000.0	46.46	shell-cli-git
323	**Important:**	先	A	3	3	2	1500.0	3000.0	46.54	markdown-docs
324	Internal Server Error	入	A	3	3	2	1500.0	3000.0	46.63	web-http-api
325	OUTER JOIN	全	A	3	3	2	1500.0	3000.0	46.71	sql-data
326	TRUNCATE TABLE	公	A	4	4	3	1000.0	3000.0	46.8	sql-data
327	CURRENT_TIMESTAMP	共	A	2	2	1	3000.0	3000.0	46.88	sql-data
328	LIKE '%	其	A	2	2	1	3000.0	3000.0	46.96	sql-data
